MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
67.8259964,-6315438,-1122064,-907363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.01899719,-6365890,-1140883,-922102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.23100281,-6397890,-1108460,-900392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.70800018,-6379186,-1113409,-906892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.87400055,-6415717,-1126867,-915952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.10800171,-6340386,-1132523,-919354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.33599854,-6284301,-1113600,-920025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.51399994,-6399913,-1118788,-928393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.7539978,-6290213,-1118619,-902982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.96399689,-6408942,-1119348,-914924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.16799927,-6319179,-1128151,-904239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.41400146,-6219570,-1107303,-916871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.6269989,-6188957,-1114694,-911465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.8219986,-6354531,-1110971,-918491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.05500031,-6247680,-1127982,-912199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.27500153,-6252733,-1103302,-919691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.45700073,-6258738,-1125139,-909028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.67500305,-6225042,-1110050,-911463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
